Events in Wadsworth	[IN:GET_EVENT [SL:LOCATION ] ]
How many miles apart is Los Angeles and Anaheim	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
what 's happening for families this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] ]
how far is the history museum from mike 's work ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] ]
how long is the trip to grandma 's	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] ]
How long will it take me to get to the Target on Centre Street in Abington	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] [SL:LOCATION_MODIFIER ] ] ] ]
Traffic estimate for Manhattan to JFK this afternoon	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
what are the roads looking like this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
how long will the bus take to reach my destination	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
How long is it going to take to get to the beach with traffic	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Find me something to do in Boston this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Photography classes in Ukiah	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How far is it from Denver to Los Angeles	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Are there any good bands coming through New York this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
christmas parties this december	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Take me to office from highway via mall road	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:PATH ] ]
how long will it take me to get to the mall	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Is there any holiday plays to see this weekend in San Jose	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
how long will it take me to drive to my 4 pm meeting	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ] ] ]
Are there any Christmas Parades in NH in December	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Help me find an event in Birmingham this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Get the time to RI taking Route 128	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:PATH ] ]
Tell me about things to do in Atlanta on New year 's Eve	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
How long will it take me to reach the OSF hospital today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Are any Fourth of July festivals pet friendly	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:ATTRIBUTE_EVENT ] ]
Any events available in Madison Heights this morning	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Give me the traffic report for today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
What is going on for tomorrow	[IN:GET_EVENT [SL:DATE_TIME ] ]
will traffic delay me getting home today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
Will I hit traffic on this route	[IN:GET_INFO_TRAFFIC ]
How long is the traffic backed up to get into MIS today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
Are there any accidents on my commute home	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Would I be able to get from here to Montauk by 1 pm	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
when should I arrive home based on the traffic	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Give me directions to ACME	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
what 's the fastest way to get to the fall out boy concert ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
What time should I leave Kris hair salon to reach Heba 's wedding before 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
What is going on today	[IN:GET_EVENT [SL:DATE_TIME ] ]
Is there a detour to get out of this traffic	[IN:UPDATE_DIRECTIONS [SL:PATH ] [SL:OBSTRUCTION_AVOID ] ]
How long will it take me to get to the Hangout Festival in Gulf Shores , AL from my home ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
how heavy is traffic in my area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
When is the latest I can leave work at make my 3 pm meeting in South Lyon , avoiding the freeway .	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ] ] [SL:PATH_AVOID ] ]
What 's traffic like from Newport to Portland	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
If I leave Thursday morning to get to my brothers house how much traffic can I expect to have ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] ]
What time should I leave to make it to the Alahly 's game by 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
How far is it from Asheville NC to Ocean Isle NC	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
how is traffic from here to Schaumburg	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
what is the distance to east hills mall	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Is Jack going to the concert	[IN:GET_EVENT_ATTENDEE [SL:ATTENDEE_EVENT ] [SL:CATEGORY_EVENT ] ]
Wine tasting events near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
what is the distance between bolingbrook and new orleans	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Show me a faster route	[IN:UPDATE_DIRECTIONS ]
Dinner is at 5 pm , if I am travelling on 64 what time should I leave the house ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] [SL:PATH ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
are there any slowdowns between here and downtown	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
Which route is the quickest to take to get to work this morning	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE ] ]
How long to get to Lance 's if I leave right now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Are there any sporting events in San Jose today	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Free Christmas lights to see near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
City hall location near my house	[IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ] ] ]
What is the traffic like near Asheville	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
fastest route to avoid traffic downtown	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:DESTINATION ] ]
What 's the distance between New York and France	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
How do I get downtown ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] ]
I'm wanting to get into running , can you tell me if there 's any events happening for runners nearby	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] ]
What time do I need to leave Norman to arrive in Oklahoma City by five o'clock ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Destination arrival time please	[IN:GET_ESTIMATED_ARRIVAL ]
What time should I leave to make to to the theater by 4	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
What kind of events are happening today	[IN:GET_EVENT [SL:DATE_TIME ] ]
what artsy event can i go to tomorrow night downtown	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
any concert presales going on at the BJCC	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How is the traffic in downtown Kansas City around 10 am ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Why is everyone suddenly slowing down	[IN:GET_INFO_TRAFFIC ]
Are there sales events at the local mall	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
Please tell me how long it will take me to arrive home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
There is an accident on 39th Ave.What road should I take to get to the 13th With at least amount of traffic	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:OBSTRUCTION_AVOID ] ]
Is Metro Community College having cooking classes	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:CATEGORY_EVENT ] ]
Things to do in Montgomery Alabama	[IN:GET_EVENT [SL:LOCATION ] ]
Is there any concert that is playing tonight in San Jose	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
If I leave right now , can i get to New York City before one o clock PM ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Christmas events in New York	[IN:GET_EVENT [SL:DATE_TIME ] [SL:DATE_TIME ] ]
How long does it take to get to brookeville by bus ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:METHOD_TRAVEL ] ]
Hotel events in Miami	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Concerts by ACDC	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
is there heavy traffic in phoenix right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
traffic report for nashville	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
what 's the distance between Greenville NC and Atlanta	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
What is the traffic like from Chicago to Detroit	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
How long will it take me to get to the theatre	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Please update me on traffic to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
concerts by p diddy	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
How long will it take me to get to Cindy 's house ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
is traffic light today since it is a holiday	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Any traffic delays on Highway 5	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Is traffic normally slow during this time of day on Frederica Street	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
how long will it take to drive to Orlando today	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
When is the Pink concert coming near me	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Is there traffic to home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
How long will it take from my house to NY city using toll roads ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION ] [SL:PATH ] ]
brantley gilbert concerts	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ]
Get the time to Sandusky using Route 2 .	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:PATH ] ]
How long will it take to drive home from here	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
Are there any music events this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Was there an accident	[IN:GET_INFO_TRAFFIC ]
Can I take a detour at exit 30 and then take Allen road to get to Varun 's house .	[IN:GET_DIRECTIONS [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
I'm leaving in 10 minutes , what time should I arrive at the park ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
How many miles are there between Arkansas and California	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
What time will I be home tonight	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL ] ]
Holiday festivals near me this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
How much time is affected to arrive home from this accident ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
free concerts in Orlando next week	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
driving time from Apache to Lawton	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Motorcycle rallies in 2018	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Are there any accidents on 92	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What 's fun around here	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
accidents please	[IN:GET_INFO_TRAFFIC ]
can I get from here to my job location before 2 : 30 p.m ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Festivals near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Did the rain cause the bridge road to flood ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:ROAD_CONDITION ] ]
Can I get to Dallas on this route ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] ]
When is the next Miley Cyrus concert	[IN:GET_EVENT [SL:ORDINAL ] [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ]
If I leave Newport by 8 am , will I get to Seaside by 3 pm ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
How long is the traffic going to set me back	[IN:GET_ESTIMATED_DURATION ]
What is the best way for me to get to the AT & T center ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are the streets clear on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
New years eve parties	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
When will the next eclipse be ?	[IN:GET_EVENT [SL:ORDINAL ] [SL:CATEGORY_EVENT ] ]
how is traffic from here to LA	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION ] ]
Is there any traffic congestion near Whitman center ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] ] ] ]
Is there an accident on 152 Hwy	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Get the time to the car free day area using train	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:METHOD_TRAVEL ] ]
Are the roads icy this morning on the way to Tina 's house ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DATE_TIME ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
how long will it take to drive from detroit to Chicago	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Can I drive from Edmonds to Bellingham and avoid any highway construction ?	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] [SL:OBSTRUCTION_AVOID ] ]
will i arrive to the music festival at 6th October stage before dawn if i leave at 1 am	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ] ] [SL:DATE_TIME_ARRIVAL ] [SL:DATE_TIME_DEPARTURE ] ]
Could you please tell me what the traffic is like for the Kansas City area	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
is there any slow moving traffic in San Jose for the football game in the evening .	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:LOCATION ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
What is the distance between Rocky Mount and Cleveland	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Any traffic stopped	[IN:GET_INFO_TRAFFIC ]
What is traffic like on the way to Andrew 's work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] ]
If I leave Shakespeare in the Park at 6 pm , when will I get to Portland ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
Museum shows in the city this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
Using the I - 10 freeway , how long will it take me to get to Victoria Gardens ?	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How long should I add to my commute for construction delays	[IN:GET_ESTIMATED_DURATION [SL:PATH ] ]
Music events in Charleston next month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
