How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
Look up directions to nearest public parking near S Beritania Street	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 4 5 ] [SL:CATEGORY_LOCATION 5 7 ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 7 8 ] [SL:LOCATION 8 11 ] ] ] ] ] ]
Route to the mall	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 2 4 ] ] ] ]
star wars events near me today	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] [SL:DATE_TIME 5 6 ] ]
find me the nearest gas station off of 5th ave north .	[IN:GET_LOCATION [SL:LOCATION_MODIFIER 3 4 ] [SL:CATEGORY_LOCATION 4 6 ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 6 8 ] [SL:LOCATION 8 11 ] ] ] ]
Is the rain making it hard to get to the rugby tournament today ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 1 3 ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 9 12 ] [SL:DATE_TIME 12 13 ] ] ] ]
What 's the traffic like heading in to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What types of things can I do in Atlanta on the third weekend	[IN:GET_EVENT [SL:LOCATION 8 9 ] [SL:DATE_TIME 9 13 ] ]
how long will it take to get to D.C from baltimore	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 8 9 ] [SL:SOURCE 10 11 ] ]
Events in Wadsworth	[IN:GET_EVENT [SL:LOCATION 2 3 ] ]
How many miles apart is Los Angeles and Anaheim	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
what 's happening for families this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 4 5 ] [SL:DATE_TIME 5 7 ] ]
how far is the history museum from mike 's work ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 3 6 ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT 7 8 ] ] ] ]
how long is the trip to grandma 's	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 6 7 ] ] ] ]
How long will it take me to get to the Target on Centre Street in Abington	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 11 ] [SL:LOCATION_MODIFIER 12 14 ] [SL:LOCATION_MODIFIER 15 16 ] ] ] ]
Traffic estimate for Manhattan to JFK this afternoon	[IN:GET_INFO_TRAFFIC [SL:SOURCE 3 4 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 6 ] ] ] [SL:DATE_TIME 6 8 ] ]
what are the roads looking like this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 6 8 ] ]
how long will the bus take to reach my destination	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 4 5 ] [SL:DESTINATION 8 10 ] ]
How long is it going to take to get to the beach with traffic	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 10 12 ] ] ] ]
Find me something to do in Boston this weekend	[IN:GET_EVENT [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 9 ] ]
Photography classes in Ukiah	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] ]
How far is it from Denver to Los Angeles	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
Are there any good bands coming through New York this week	[IN:GET_EVENT [SL:CATEGORY_EVENT 4 5 ] [SL:LOCATION 7 9 ] [SL:DATE_TIME 9 11 ] ]
christmas parties this december	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:DATE_TIME 2 4 ] ]
Take me to office from highway via mall road	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 6 ] ] ] [SL:PATH 7 9 ] ]
how long will it take me to get to the mall	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 9 11 ] ] ] ]
Is there any holiday plays to see this weekend in San Jose	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:CATEGORY_EVENT 4 5 ] [SL:DATE_TIME 7 9 ] [SL:LOCATION 10 12 ] ]
how long will it take me to drive to my 4 pm meeting	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT 9 10 ] [SL:DATE_TIME 10 12 ] [SL:CATEGORY_EVENT 12 13 ] ] ] ]
Are there any Christmas Parades in NH in December	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:CATEGORY_EVENT 4 5 ] [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 9 ] ]
Help me find an event in Birmingham this weekend	[IN:GET_EVENT [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 9 ] ]
Get the time to RI taking Route 128	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 4 5 ] [SL:PATH 6 8 ] ]
Tell me about things to do in Atlanta on New year 's Eve	[IN:GET_EVENT [SL:LOCATION 7 8 ] [SL:DATE_TIME 8 13 ] ]
How long will it take me to reach the OSF hospital today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] [SL:DATE_TIME_DEPARTURE 11 12 ] ]
Are any Fourth of July festivals pet friendly	[IN:GET_EVENT [SL:DATE_TIME 2 5 ] [SL:CATEGORY_EVENT 5 6 ] [SL:ATTRIBUTE_EVENT 6 8 ] ]
Any events available in Madison Heights this morning	[IN:GET_EVENT [SL:LOCATION 4 6 ] [SL:DATE_TIME 6 8 ] ]
Give me the traffic report for today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 5 7 ] ]
What is going on for tomorrow	[IN:GET_EVENT [SL:DATE_TIME 4 6 ] ]
will traffic delay me getting home today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE 6 7 ] ]
Will I hit traffic on this route	[IN:GET_INFO_TRAFFIC ]
How long is the traffic backed up to get into MIS today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 10 11 ] ] ] [SL:DATE_TIME 11 12 ] ]
Are there any accidents on my commute home	[IN:GET_INFO_TRAFFIC [SL:PATH 5 7 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Would I be able to get from here to Montauk by 1 pm	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 7 8 ] ] ] [SL:DESTINATION 9 10 ] [SL:DATE_TIME_ARRIVAL 10 13 ] ]
when should I arrive home based on the traffic	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Give me directions to ACME	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 4 5 ] ] ] ]
what 's the fastest way to get to the fall out boy concert ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 9 12 ] [SL:CATEGORY_EVENT 12 13 ] ] ] ]
What time should I leave Kris hair salon to reach Heba 's wedding before 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT 10 11 ] [SL:CATEGORY_EVENT 12 13 ] ] ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
What is going on today	[IN:GET_EVENT [SL:DATE_TIME 4 5 ] ]
Is there a detour to get out of this traffic	[IN:UPDATE_DIRECTIONS [SL:PATH 3 4 ] [SL:OBSTRUCTION_AVOID 8 10 ] ]
How long will it take me to get to the Hangout Festival in Gulf Shores , AL from my home ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 9 12 ] [SL:LOCATION 13 17 ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 18 19 ] ] ] ]
how heavy is traffic in my area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER 5 7 ] ] ] ]
When is the latest I can leave work at make my 3 pm meeting in South Lyon , avoiding the freeway .	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT 10 11 ] [SL:DATE_TIME 11 13 ] [SL:CATEGORY_EVENT 13 14 ] [SL:LOCATION 15 17 ] ] ] [SL:PATH_AVOID 19 21 ] ]
What 's traffic like from Newport to Portland	[IN:GET_INFO_TRAFFIC [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
If I leave Thursday morning to get to my brothers house how much traffic can I expect to have ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 5 ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED 8 9 ] [SL:TYPE_RELATION 9 10 ] ] ] ]
What time should I leave to make it to the Alahly 's game by 7 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 10 11 ] [SL:CATEGORY_EVENT 12 13 ] ] ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
How far is it from Asheville NC to Ocean Isle NC	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 11 ] ]
how is traffic from here to Schaumburg	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 4 5 ] ] ] [SL:DESTINATION 6 7 ] ]
what is the distance to east hills mall	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] ]
Is Jack going to the concert	[IN:GET_EVENT_ATTENDEE [SL:ATTENDEE_EVENT 1 2 ] [SL:CATEGORY_EVENT 4 6 ] ]
Wine tasting events near me	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
what is the distance between bolingbrook and new orleans	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
Show me a faster route	[IN:UPDATE_DIRECTIONS ]
Dinner is at 5 pm , if I am travelling on 64 what time should I leave the house ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:DATE_TIME 2 5 ] ] ] [SL:PATH 11 12 ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
are there any slowdowns between here and downtown	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 5 6 ] ] ] [SL:DESTINATION 7 8 ] ]
Which route is the quickest to take to get to work this morning	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE 11 13 ] ]
How long to get to Lance 's if I leave right now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 5 6 ] ] ] [SL:DATE_TIME_DEPARTURE 10 12 ] ]
Are there any sporting events in San Jose today	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:LOCATION 6 8 ] [SL:DATE_TIME 8 9 ] ]
Free Christmas lights to see near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:DATE_TIME 1 2 ] [SL:CATEGORY_EVENT 2 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION_USER 6 7 ] ] ] ]
City hall location near my house	[IN:GET_LOCATION [SL:POINT_ON_MAP 0 2 ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT 4 5 ] ] ] ] ] ]
What is the traffic like near Asheville	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 5 6 ] [SL:LOCATION 6 7 ] ] ] ]
fastest route to avoid traffic downtown	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID 4 5 ] [SL:DESTINATION 5 6 ] ]
What 's the distance between New York and France	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
How do I get downtown ?	[IN:GET_DIRECTIONS [SL:DESTINATION 4 5 ] ]
I'm wanting to get into running , can you tell me if there 's any events happening for runners nearby	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 18 19 ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 19 20 ] ] ] ]
What time do I need to leave Norman to arrive in Oklahoma City by five o'clock ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE 7 8 ] [SL:DESTINATION 11 13 ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
Destination arrival time please	[IN:GET_ESTIMATED_ARRIVAL ]
What time should I leave to make to to the theater by 4	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 9 11 ] ] ] [SL:DATE_TIME_ARRIVAL 11 13 ] ]
What kind of events are happening today	[IN:GET_EVENT [SL:DATE_TIME 6 7 ] ]
what artsy event can i go to tomorrow night downtown	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 7 9 ] [SL:LOCATION 9 10 ] ]
any concert presales going on at the BJCC	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 6 8 ] ] ] ]
How is the traffic in downtown Kansas City around 10 am ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 8 ] [SL:DATE_TIME 8 11 ] ]
Why is everyone suddenly slowing down	[IN:GET_INFO_TRAFFIC ]
Are there sales events at the local mall	[IN:GET_EVENT [SL:CATEGORY_EVENT 2 4 ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 6 7 ] [SL:CATEGORY_LOCATION 7 8 ] ] ] ]
Please tell me how long it will take me to arrive home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
There is an accident on 39th Ave.What road should I take to get to the 13th With at least amount of traffic	[IN:GET_DIRECTIONS [SL:DESTINATION 14 16 ] [SL:OBSTRUCTION_AVOID 21 22 ] ]
Is Metro Community College having cooking classes	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 1 4 ] ] ] [SL:CATEGORY_EVENT 5 7 ] ]
Things to do in Montgomery Alabama	[IN:GET_EVENT [SL:LOCATION 4 6 ] ]
Is there any concert that is playing tonight in San Jose	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 4 ] [SL:DATE_TIME 7 8 ] [SL:LOCATION 9 11 ] ]
If I leave right now , can i get to New York City before one o clock PM ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 3 5 ] [SL:DESTINATION 10 13 ] [SL:DATE_TIME_ARRIVAL 13 18 ] ]
Christmas events in New York	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:DATE_TIME 3 5 ] ]
How long does it take to get to brookeville by bus ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 8 9 ] [SL:METHOD_TRAVEL 10 11 ] ]
Hotel events in Miami	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] ]
Concerts by ACDC	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 3 ] ]
is there heavy traffic in phoenix right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] [SL:DATE_TIME 6 8 ] ]
traffic report for nashville	[IN:GET_INFO_TRAFFIC [SL:LOCATION 3 4 ] ]
what 's the distance between Greenville NC and Atlanta	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
What is the traffic like from Chicago to Detroit	[IN:GET_INFO_TRAFFIC [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
How long will it take me to get to the theatre	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 9 11 ] ] ] ]
Please update me on traffic to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
concerts by p diddy	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 4 ] ]
How long will it take me to get to Cindy 's house ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] ]
is traffic light today since it is a holiday	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 3 4 ] ]
Any traffic delays on Highway 5	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 6 ] ]
Is traffic normally slow during this time of day on Frederica Street	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 9 ] [SL:LOCATION 10 12 ] ]
how long will it take to drive to Orlando today	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION 8 9 ] [SL:DATE_TIME 9 10 ] ]
When is the Pink concert coming near me	[IN:GET_EVENT [SL:NAME_EVENT 3 4 ] [SL:CATEGORY_EVENT 4 5 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 6 7 ] [SL:LOCATION_USER 7 8 ] ] ] ]
Is there traffic to home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
How long will it take from my house to NY city using toll roads ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 6 7 ] ] ] [SL:DESTINATION 9 11 ] [SL:PATH 12 14 ] ]
brantley gilbert concerts	[IN:GET_EVENT [SL:NAME_EVENT 0 2 ] [SL:CATEGORY_EVENT 2 3 ] ]
Get the time to Sandusky using Route 2 .	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 4 5 ] [SL:PATH 6 8 ] ]
How long will it take to drive home from here	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 9 10 ] ] ] ]
Are there any music events this month	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:DATE_TIME 5 7 ] ]
Was there an accident	[IN:GET_INFO_TRAFFIC ]
Can I take a detour at exit 30 and then take Allen road to get to Varun 's house .	[IN:GET_DIRECTIONS [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 5 ] [SL:LOCATION_MODIFIER 6 8 ] ] ] [SL:PATH 11 13 ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 16 17 ] ] ] ]
I'm leaving in 10 minutes , what time should I arrive at the park ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 2 5 ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 12 14 ] ] ] ]
How many miles are there between Arkansas and California	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
What time will I be home tonight	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL 6 7 ] ]
Holiday festivals near me this weekend	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION_USER 3 4 ] ] ] [SL:DATE_TIME 4 6 ] ]
How much time is affected to arrive home from this accident ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
free concerts in Orlando next week	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 6 ] ]
driving time from Apache to Lawton	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 0 1 ] [SL:SOURCE 3 4 ] [SL:DESTINATION 5 6 ] ]
Motorcycle rallies in 2018	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:DATE_TIME 2 4 ] ]
Are there any accidents on 92	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
What 's fun around here	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 3 4 ] [SL:LOCATION_USER 4 5 ] ] ] ]
accidents please	[IN:GET_INFO_TRAFFIC ]
can I get from here to my job location before 2 : 30 p.m ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 4 5 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT 6 7 ] ] ] [SL:DATE_TIME_ARRIVAL 9 14 ] ]
Festivals near me	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 1 2 ] [SL:LOCATION_USER 2 3 ] ] ] ]
Did the rain cause the bridge road to flood ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 4 7 ] ] ] [SL:ROAD_CONDITION 8 9 ] ]
Can I get to Dallas on this route ?	[IN:GET_DIRECTIONS [SL:DESTINATION 4 5 ] ]
When is the next Miley Cyrus concert	[IN:GET_EVENT [SL:ORDINAL 3 4 ] [SL:NAME_EVENT 4 6 ] [SL:CATEGORY_EVENT 6 7 ] ]
If I leave Newport by 8 am , will I get to Seaside by 3 pm ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE 3 4 ] [SL:DATE_TIME_DEPARTURE 4 7 ] [SL:DESTINATION 12 13 ] [SL:DATE_TIME_ARRIVAL 13 16 ] ]
How long is the traffic going to set me back	[IN:GET_ESTIMATED_DURATION ]
What is the best way for me to get to the AT & T center ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 10 15 ] ] ] ]
Are the streets clear on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
New years eve parties	[IN:GET_EVENT [SL:DATE_TIME 0 3 ] [SL:CATEGORY_EVENT 3 4 ] ]
